"","Property","Price","Type","Bedrooms","Bathrooms","Station","URl","pp_pw"
"373","Ampton Street, London WC1X",2600,"flat",3,"1","London Kings Cross","https://www.zoopla.co.uk/to-rent/details/59019509/",216.666666666667
"374","Zealand Road, London E3",2600,"house",3,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/59011569/",216.666666666667
"375","Royal College Street, London NW1",2600,"flat",3,"1","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/56500800/",216.666666666667
"376","Bluegate Mews, 228 Cable Street, Shadwell, London E1",2600,"flat",3,"2","Shadwell","https://www.zoopla.co.uk/to-rent/details/58967854/",216.666666666667
"377","Roupell Street, London SE1",2600,"house",3,"1","London Waterloo East","https://www.zoopla.co.uk/to-rent/details/52918758/",216.666666666667
"378","White Horse Lane, Stepney, London E1",2600,"flat",3,"2","Stepney Green","https://www.zoopla.co.uk/to-rent/details/58910064/",216.666666666667
"379","Albert Barnes House, London SE1",2600,"flat",3,"1","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58882770/",216.666666666667
"380","Midway House, Manningford Close EC1V",2600,"house",3,"1","Angel","https://www.zoopla.co.uk/to-rent/details/48666428/",216.666666666667
"381","Crofts Street, London E1",2600,"house",3,"2","Tower Gateway","https://www.zoopla.co.uk/to-rent/details/58783389/",216.666666666667
"382","Camden Street, Camden NW1",2600,"flat",3,"1","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/58733357/",216.666666666667
"383","London Bridge, London SE1",2600,"flat",3,"1","London Bridge","https://www.zoopla.co.uk/to-rent/details/58666409/",216.666666666667
"384","Coborn Road, Bow, London E3",2600,"flat",3,"1","Mile End","https://www.zoopla.co.uk/to-rent/details/58662152/",216.666666666667
"385","119 Newington Causeway, London SE1",2600,"flat",3,"1","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58658026/",216.666666666667
"386","Great Percy Street, London WC1X",2600,"flat",3,"1","Angel","https://www.zoopla.co.uk/to-rent/details/58648743/",216.666666666667
"387","South Block, County Hall, London SE1",2600,"flat",3,"2","Waterloo","https://www.zoopla.co.uk/to-rent/details/41603290/",216.666666666667
"388","Walton House, London E2",2600,"flat",3,"2","Shoreditch High Street","https://www.zoopla.co.uk/to-rent/details/58485868/",216.666666666667
"389","St. James's Road, London SE1",2600,"house",3,"2","South Bermondsey","https://www.zoopla.co.uk/to-rent/details/54938343/",216.666666666667
"390","Bayham Street, London NW1",2600,"flat",3,"NA","Camden Town","https://www.zoopla.co.uk/to-rent/details/58369992/",216.666666666667
"391","Eversholt Street, London NW1",2600,"flat",3,"2","Euston","https://www.zoopla.co.uk/to-rent/details/55210146/",216.666666666667
"392","Harrington Square, London NW1",3480,"flat",4,"2","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/59013056/",217.5
"393","Margery Street, London WC1X",3500,"flat",4,"1","Angel","https://www.zoopla.co.uk/to-rent/details/59003067/",218.75
"394","The Chenies, London NW1",3500,"flat",4,"1","London St Pancras (Intl)","https://www.zoopla.co.uk/to-rent/details/58753511/",218.75
"395","Hartland Road, Chalk Farm NW1",3532,"flat",4,"2","Kentish Town West","https://www.zoopla.co.uk/to-rent/details/58970308/",220.75
"396","Tyndale Mansions, Upper Street, London N1",2650,"flat",3,"1","Essex Road","https://www.zoopla.co.uk/to-rent/details/56231856/",220.833333333333
"397","Whitechapel Road, London E1",2650,"flat",3,"1","Aldgate East","https://www.zoopla.co.uk/to-rent/details/58916318/",220.833333333333
"398","Mitchell Street, London EC1V",2650,NA,3,"1","Old Street","https://www.zoopla.co.uk/to-rent/details/54856398/",220.833333333333
"399","Coopers Lane, London NW1",3549,NA,4,"2","London St Pancras (Intl)","https://www.zoopla.co.uk/to-rent/details/55967746/",221.8125
"400","Chatham Street, London SE17",2665,"flat",3,"1","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58703673/",222.083333333333
"401","Abingdon Close, Camden Square, London NW1",3575,"flat",4,"NA","Camden Road","https://www.zoopla.co.uk/to-rent/details/58991032/",223.4375
"402","Holcroft Court, Clipstone Street, London W1W",3575,"flat",4,"1","Great Portland Street","https://www.zoopla.co.uk/to-rent/details/58927529/",223.4375
"403","Holcroft Court, Clipstone Street, London W1W",3575,"flat",4,"1","Great Portland Street","https://www.zoopla.co.uk/to-rent/details/58861830/",223.4375
"404","Crowndale Road, London NW1",3575,"flat",4,"1","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/55014987/",223.4375
"405","Whitechapel Road, London E1",2687,"flat",3,"1","Aldgate East","https://www.zoopla.co.uk/to-rent/details/58741313/",223.916666666667
"406","Queen Annes Square, London SE1",2700,"flat",3,"2","Bermondsey","https://www.zoopla.co.uk/to-rent/details/47960262/",225
"407","Royal College Street, Camden, London NW1",4500,"property",5,"2","Camden Road","https://www.zoopla.co.uk/to-rent/details/58991092/",225
"408","Vallance Road, London E2",2700,"house",3,"1","Bethnal Green","https://www.zoopla.co.uk/to-rent/details/58986598/",225
"409","Thomas More Street, London E1W",2700,"flat",3,"2","Tower Gateway","https://www.zoopla.co.uk/to-rent/details/58977955/",225
"410","Durdans House Farrier Street, Camden NW1",2700,"flat",3,"1","Camden Road","https://www.zoopla.co.uk/to-rent/details/58696593/",225
"411","Westerham, Bayham Street, London NW1",2708,"flat",3,"1","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/55300103/",225.666666666667
"412","Barnsbury Park, London N1",2708,"flat",3,"1","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/55538730/",225.666666666667
"413","Porlock Street, London SE1",3640,"house",4,"4","Borough","https://www.zoopla.co.uk/to-rent/details/58884650/",227.5
"414","North Gower Street, Euston, London NW1",2730,"flat",3,"1","Euston Square","https://www.zoopla.co.uk/to-rent/details/52423991/",227.5
"415","Bridge Wharf, London N1",2730,"flat",3,"1","London Kings Cross","https://www.zoopla.co.uk/to-rent/details/58504221/",227.5
"416","Steedman Street, London SE17",2745,"house",3,"2","Elephant & Castle","https://www.zoopla.co.uk/to-rent/details/58337053/",228.75
"417","Havelock Street, London N1",3662,"house",4,"2","Caledonian Road & Barnsbury","https://www.zoopla.co.uk/to-rent/details/58469972/",228.875
"418","Coopers Lane, London NW1",2750,"flat",3,"1","London St Pancras (Intl)","https://www.zoopla.co.uk/to-rent/details/58758729/",229.166666666667
"419","Gray's Inn Road, King's Cross St Pancras WC1X",2750,"house",3,"2","King's Cross St. Pancras","https://www.zoopla.co.uk/to-rent/details/58017245/",229.166666666667
"420","Hadley Street, London NW1",2752,"house",3,"1","Kentish Town West","https://www.zoopla.co.uk/to-rent/details/59013736/",229.333333333333
"421","Montague Mews, London E3",2752,"flat",3,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/58977965/",229.333333333333
"422","Montague Mews, London E3",2752,"house",3,"2","Mile End","https://www.zoopla.co.uk/to-rent/details/58643738/",229.333333333333
"423","Parfett Street, London E1",3683,"house",4,"2","Whitechapel","https://www.zoopla.co.uk/to-rent/details/59005045/",230.1875
"424","Camden Mews, London NW1",3683,"house",4,"2","Camden Road","https://www.zoopla.co.uk/to-rent/details/56296056/",230.1875
"425","Crosby Row, London SE1",3683,"house",4,"2","Borough","https://www.zoopla.co.uk/to-rent/details/55514666/",230.1875
"426","Weymouth Mews, London W1G",3683,"house",4,"NA","Regent's Park","https://www.zoopla.co.uk/to-rent/details/52007651/",230.1875
"427","Hadley Street, London NW1",2773,"house",3,"1","Kentish Town West","https://www.zoopla.co.uk/to-rent/details/58718695/",231.083333333333
"428","Longley Street, Bermondsey, London SE1",2795,"house",3,"1","Bermondsey","https://www.zoopla.co.uk/to-rent/details/58835435/",232.916666666667
"429","Nicholson Street, London SE1",2800,"house",3,"2","Southwark","https://www.zoopla.co.uk/to-rent/details/51941595/",233.333333333333
"430","Swan Street, London SE1",2817,"flat",3,"2","Borough","https://www.zoopla.co.uk/to-rent/details/58952817/",234.75
"431","Angel Wharf Shepherdess Walk, Islington N1",2817,"flat",3,"2","Essex Road","https://www.zoopla.co.uk/to-rent/details/44419049/",234.75
"432","Clarence Gardens, London NW1",2817,"house",3,"1","Great Portland Street","https://www.zoopla.co.uk/to-rent/details/55556495/",234.75
"433","Mackenzie Road, Islington, London N7",2817,"property",3,"2","Caledonian Road","https://www.zoopla.co.uk/to-rent/details/58558320/",234.75
"434","Tavistock Place, London WC1H",3781,"flat",4,"1","Russell Square","https://www.zoopla.co.uk/to-rent/details/58782419/",236.3125
"435","Polygon Road, London NW1",3792,"flat",4,"2","Euston","https://www.zoopla.co.uk/to-rent/details/55210145/",237
"436","Hartland Road, Chalk Farm NW1",3792,"flat",4,"2","Kentish Town West","https://www.zoopla.co.uk/to-rent/details/58731380/",237
"437","Southwark Bridge Road, London SE1",2850,"house",3,"3","Borough","https://www.zoopla.co.uk/to-rent/details/59002209/",237.5
"438","Woodland Crescent, London SE16",3800,"house",4,"4","Canada Water","https://www.zoopla.co.uk/to-rent/details/58956868/",237.5
"439","Kings Terrace, London NW1",3800,"house",4,"2","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/58569305/",237.5
"440","Harrington Square, London NW1",3850,"house",4,"1","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/57796501/",240.625
"441","Bayham Street, Camden NW1",3878,"house",4,"1","Mornington Crescent","https://www.zoopla.co.uk/to-rent/details/58433978/",242.375
